,.model,Region,Product,MAE
474,harmonic6,R10,CNW,198666.0166
475,harmonic6,R10,DFD,394543.6988
476,harmonic6,R10,DFW,3469733.806
477,harmonic6,R10,DNW,249597.7388
478,harmonic6,R10,EFD,677289.6679
479,harmonic6,R10,EFW,1061516.564
480,harmonic6,R10,ENW,444496.9337
481,harmonic6,R2,AFD,237583.5358
482,harmonic6,R2,AFW,13604704.53
483,harmonic6,R2,ANW,828.9803199
484,harmonic6,R2,BFD,235954.8383
485,harmonic6,R2,BFW,22472.63502
486,harmonic6,R2,BNW,186998.2073
487,harmonic6,R2,CFD,253115.7255
488,harmonic6,R2,CFW,8038111.348
489,harmonic6,R2,CNW,8950.342316
490,harmonic6,R2,DFD,40292.05668
491,harmonic6,R2,DFW,6426.522531
492,harmonic6,R2,DNW,1130.201685
493,harmonic6,R2,EFD,88852.70346
494,harmonic6,R2,EFW,6813735.886
495,harmonic6,R2,ENW,982.0369243
496,harmonic6,R3,AFD,168430.9193
497,harmonic6,R3,AFW,804452.889
498,harmonic6,R3,ANW,1643.023888
499,harmonic6,R3,BFD,119959.317
500,harmonic6,R3,BFW,23958.60827
501,harmonic6,R3,BNW,19339.29359
502,harmonic6,R3,CFD,7286.908893
503,harmonic6,R3,CFW,1967326.373
504,harmonic6,R3,CNW,528.4269366
505,harmonic6,R3,DFD,57241.85035
506,harmonic6,R3,DFW,189.4445853
507,harmonic6,R3,DNW,5.601706198
508,harmonic6,R3,EFD,2848.727981
509,harmonic6,R3,EFW,464680.1735
510,harmonic6,R3,ENW,1095.996296
511,harmonic6,R4,AFD,87546.64933
512,harmonic6,R4,AFW,2336621.74
513,harmonic6,R4,ANW,6924.974475
514,harmonic6,R4,BFD,292502.4627
515,harmonic6,R4,BFW,18913.17408
516,harmonic6,R4,BNW,57125.12978
517,harmonic6,R4,CFD,208336.806
518,harmonic6,R4,CFW,1451428.421
519,harmonic6,R4,CNW,22489.71314
520,harmonic6,R4,DFD,32590.94918
521,harmonic6,R4,DFW,101378.1859
522,harmonic6,R4,DNW,13504.25918
523,harmonic6,R4,EFD,12261.05612
